iter	Passed	Remaining
0	1	228
1	2	216
2	3	208
3	4	197
4	4	193
5	6	194
6	6	192
7	7	189
8	8	186
9	9	187
10	10	185
11	11	183
12	12	183
13	13	184
14	14	184
15	16	184
16	17	183
17	17	181
18	18	180
19	19	179
20	20	177
21	21	175
22	22	174
23	23	172
24	24	171
25	25	171
26	26	169
27	27	168
28	28	167
29	29	166
30	30	165
31	31	164
32	32	163
33	33	162
34	34	160
35	35	160
36	36	159
37	37	159
38	38	158
39	39	157
40	40	155
41	41	154
42	42	153
43	42	152
44	43	151
45	44	149
46	45	148
47	46	147
48	47	146
49	48	144
50	49	143
51	49	142
52	50	141
53	51	139
54	52	138
55	53	137
56	54	136
57	55	135
58	56	134
59	57	133
60	57	131
61	58	130
62	59	129
63	60	128
64	61	127
65	62	126
66	63	125
67	63	124
68	64	122
69	65	121
70	66	120
71	67	120
72	68	119
73	69	117
74	70	117
75	71	116
76	72	115
77	73	114
78	74	113
79	75	113
80	76	112
81	77	111
82	77	109
83	78	108
84	79	107
85	80	106
86	81	106
87	82	105
88	83	104
89	84	103
90	85	102
91	86	101
92	87	100
93	88	99
94	88	98
95	89	97
96	90	96
97	91	95
98	92	94
99	93	93
100	94	92
101	95	91
102	96	90
103	97	89
104	97	88
105	98	87
106	99	86
107	100	85
108	101	84
109	102	83
110	103	83
111	104	82
112	105	81
113	106	80
114	107	79
115	107	78
116	108	77
117	109	76
118	110	75
119	111	74
120	112	73
121	113	72
122	114	71
123	115	70
124	116	69
125	116	68
126	118	67
127	118	66
128	119	65
129	120	65
130	121	64
131	122	63
132	123	62
133	124	61
134	125	60
135	126	59
136	127	58
137	128	57
138	129	56
139	130	56
140	131	55
141	132	54
142	133	53
143	134	52
144	135	51
145	136	50
146	137	49
147	138	48
148	139	47
149	140	46
150	141	45
151	142	44
152	143	43
153	144	43
154	144	42
155	145	41
156	146	40
157	147	39
158	148	38
159	149	37
160	150	36
161	151	35
162	152	34
163	153	33
164	154	32
165	155	31
166	156	30
167	157	29
168	157	28
169	158	28
170	159	27
171	160	26
172	161	25
173	162	24
174	163	23
175	164	22
176	165	21
177	166	20
178	167	19
179	167	18
180	168	17
181	169	16
182	170	15
183	171	14
184	172	13
185	173	13
186	174	12
187	175	11
188	176	10
189	177	9
190	178	8
191	179	7
192	181	6
193	182	5
194	183	4
195	184	3
196	184	2
197	185	1
198	186	0
199	187	0
