iter	Passed	Remaining
0	0	883
1	1	763
2	2	729
3	2	691
4	3	691
5	4	689
6	4	690
7	5	684
8	6	686
9	7	708
10	7	712
11	8	732
12	9	758
13	10	760
14	11	774
15	12	771
16	13	760
17	13	756
18	14	753
19	15	751
20	16	746
21	16	740
22	17	733
23	17	728
24	18	724
25	19	719
26	19	712
27	20	709
28	21	710
29	21	707
30	22	706
31	23	705
32	23	702
33	24	703
34	25	703
35	26	700
36	26	697
37	27	696
38	28	693
39	28	690
40	29	686
41	30	685
42	30	684
43	31	681
44	31	678
45	32	676
46	33	673
47	33	671
48	34	668
49	35	667
50	35	666
51	36	664
52	37	662
53	37	660
54	38	658
55	38	657
56	39	659
57	40	659
58	41	658
59	41	657
60	42	656
61	43	654
62	43	653
63	44	651
64	45	648
65	45	648
66	46	646
67	47	644
68	47	642
69	48	641
70	48	640
71	49	640
72	50	639
73	51	639
74	51	641
75	52	640
76	53	641
77	54	640
78	54	639
79	55	638
80	56	638
81	56	636
82	57	634
83	58	633
84	58	631
85	59	635
86	60	635
87	61	634
88	61	632
89	62	631
90	63	630
91	63	629
92	64	629
93	65	627
94	65	625
95	66	624
96	66	622
97	67	621
98	68	621
99	68	619
100	69	621
101	70	619
102	70	618
103	71	616
104	72	616
105	73	616
106	73	615
107	74	614
108	75	613
109	75	612
110	76	611
111	76	610
112	77	611
113	78	612
114	79	610
115	80	610
116	80	608
117	81	608
118	81	606
119	82	605
120	83	605
121	83	603
122	84	603
123	85	603
124	86	602
125	86	601
126	87	600
127	88	599
128	88	599
129	89	598
130	90	597
131	90	596
132	91	594
133	92	595
134	92	594
135	93	593
136	94	592
137	94	591
138	95	590
139	96	590
140	96	589
141	97	586
142	97	586
143	98	585
144	99	584
145	99	584
146	100	585
147	101	585
148	102	584
149	103	584
150	103	583
151	104	583
152	105	582
153	105	582
154	106	581
155	107	580
156	108	579
157	108	578
158	109	577
159	109	575
160	110	574
161	110	573
162	111	571
163	111	570
164	112	569
165	113	569
166	113	568
167	114	567
168	115	568
169	116	567
170	116	566
171	117	565
172	117	563
173	118	562
174	119	561
175	120	562
176	120	561
177	121	560
178	121	559
179	122	558
180	123	556
181	123	555
182	124	555
183	124	553
184	125	552
185	126	551
186	126	550
187	127	549
188	127	549
189	128	548
190	129	547
191	130	547
192	130	546
193	131	545
194	131	544
195	132	543
196	133	542
197	133	541
198	134	540
199	134	539
200	135	538
201	136	538
202	136	537
203	137	536
204	137	535
205	138	534
206	139	533
207	139	532
208	140	531
209	140	530
210	141	529
211	142	528
212	142	527
213	143	526
214	144	527
215	145	526
216	145	525
217	146	525
218	146	524
